<video_id>,<frame_id>,Unnamed: 2,<vehicle_class_id>
cam_3,1406,2,car
cam_3,1411,2,car
cam_3,1422,1,car
cam_3,1437,2,car
cam_3,1443,3,car
cam_3,1483,4,car 
cam_3,1486,2,car
cam_3,1512,3,car
cam_3,1530,2,car
cam_3,1541,2,car
cam_3,1553,2,car
cam_3,1560,2,car
cam_3,1567,1,car
cam_3,1576,2,car
cam_3,1577,1,car
cam_3,1599,1,car
cam_3,1604,2,car
cam_3,1615,2,car
cam_3,1630,2,car
cam_3,1635,1,car
cam_3,1644,2,car
cam_3,1655,1,car
cam_3,1676,2,car
cam_3,1691,2,car
cam_3,1709,1,car
cam_3,1715,2,car
cam_3,1728,2,car 
cam_3,1747,2,car
cam_3,1764,4,car
cam_3,1777,1,car
cam_3,1780,2,car
cam_3,1806,4,car
cam_3,1813,1,car
cam_3,1841,1,car
cam_3,1843,2,car
cam_3,1853,2,car
cam_3,1856,2,car
cam_3,1861,1,car
cam_3,1870,1,car
cam_3,1870,2,car
cam_3,1894,4,car
cam_3,1907,1,car
cam_3,1931,2,car
cam_3,1949,1,car
cam_3,1956,2,car
cam_3,1981,2,car
cam_3,1984,1,car
cam_3,2025,4,car
cam_3,2042,1,car
cam_3,2054,1,car
cam_3,2062,2,car
cam_3,2063,1,car
cam_3,2067,1,car
cam_3,2071,3,car
cam_3,2078,4,car
cam_3,2087,1,car
cam_3,2088,1,car
cam_3,2101,1,car
cam_3,2105,1,car
cam_3,2110,1,car
cam_3,2110,4,car
cam_3,2113,1,car
cam_3,2123,1,car
cam_3,2125,1,car
cam_3,2136,1,car
cam_3,2144,1,car
cam_3,2149,1,car
cam_3,2155,1,car
cam_3,2157,1,car
cam_3,2165,2,car
cam_3,2172,1,car
cam_3,2185,4,car
cam_3,2190,1,car
cam_3,2199,1,car
cam_3,2201,4,car
cam_3,2212,1,car
cam_3,2221,1,car
cam_3,2230,1,car
cam_3,2231,4,car
cam_3,2248,1,car
cam_3,2259,1,car
cam_3,2262,1,car
cam_3,2280,1,car
cam_3,2283,1,car
cam_3,2290,1,car
cam_3,2290,2,car
cam_3,2292,1,car
cam_3,2300,2,car
cam_3,2303,1,car 
cam_3,2309,1,car
cam_3,2318,1,car
cam_3,2324,2,car
cam_3,2327,1,car 
cam_3,2343,1,car
cam_3,2362,3,car
cam_3,2368,2,car 
cam_3,2374,2,car
cam_3,2398,2,car
cam_3,2400,1,car
cam_3,2401,2,car
cam_3,2424,2,car
cam_3,2424,3,car
cam_3,2452,2,car
cam_3,2454,2,car
cam_3,2501,2,car
cam_3,2508,2,car
cam_3,2516,2,car
cam_3,2553,2,car
cam_3,2555,4,car
cam_3,2590,1,truck
cam_3,2600,1,car
cam_3,2610,2,car
cam_3,2611,1,car
cam_3,2625,2,car
cam_3,2631,2,car
cam_3,2635,1,car
cam_3,2648,2,car
cam_3,2664,1,car
cam_3,2675,2,truck
cam_3,2684,2,car
cam_3,2706,2,car
cam_3,2718,2,car
cam_3,2752,2,car
cam_3,2762,2,car
cam_3,2770,1,car
cam_3,2785,1,car
cam_3,2790,2,car
cam_3,2795,2,car
cam_3,2802,1,car
cam_3,2806,2,car
cam_3,2832,4,car
cam_3,2856,2,car
cam_3,2873,1,car
cam_3,2874,2,car
cam_3,2880,2,car
cam_3,2886,1,car
cam_3,2893,2,car
cam_3,2916,1,car
cam_3,2932,4,car
cam_3,2953,4,car 
cam_3,2954,1,car
cam_3,2977,1,car
cam_3,2978,1,car
cam_3,2990,1,car
cam_3,2995,1,car
